nombre,aliases,club,posicion,nacionalidad,instagram,notable,fecha_nacimiento
Henrique Arreiol,H. Arreiol,Legia Warszawa,Mediocampista Defensivo,Portugal,,,2005-06-21
Hernâni,Hernani,Sin club,Extremo Derecho,Portugal,,,2001-04-03
Hudson Davis,,,Defender - Centre-Back,Spain,,no,2005-11-20
Ibrahim Zubairu,I. Zubairu,Corum FK,Extremo Izquierdo,Ghana,,,2004-06-02
Ignacio Arce,I. Arce|Nacho Arce,Club Deportivo Riestra,Arquero,Argentina,,,1992-02-08
Iker Venteo,I. Venteo,Sporting Atlético,Arquero,España,,,2003-04-24
Ilija Nestorovski,I. Nestorovski,Slaven Belupo,Delantero,Macedonia del Norte,,,1990-03-12
Ilija Vukotić,I. Vukotic|Ilija Vukotic,OFI Crete,Mediocampista,Montenegro,,,1999-01-07
Irsan Muric,,,Attack - Centre-Forward,Belgium,,no,2005-04-12
Itzel Colocho,,,Defender - Centre-Back,El Salvador,,no,2007-03-14
Ivo Pohmajevic,,,Attack - Left Winger,Argentina,,no,2003-01-07
Ivo Rodrigues,I. Rodrigues,Motor Lublin,Mediocampista Ofensivo,Portugal,,,1995-03-30
Joaquín Arzura,,,Midfield - Central Midfield,Argentina,,no,1993-05-18
Joel Godoy,J. Godoy,Sarmiento,Lateral Izquierdo,Argentina,,,2005-02-20
Jordi Mboula,J. Mboula,Henan FC,Extremo Derecho,España,,,1999-03-16
Josele Martínez,Josele Martinez|J. Martínez,SD Tarazona,Arquero,España,,,1998-01-13
Josip Posavec,J. Posavec,NK Lokomotiva Zagreb,Arquero,Croacia,,,1996-03-10
Josman Figueroa,J. Figueroa,CD Olimpia,Lateral Izquierdo,Honduras,,,2001-04-20
José Antonio Martínez,,,Defender - Centre-Back,Spain,,no,1993-02-12
José Sampaio,J. Sampaio,FC Vizela,Defensor Central,Portugal,,,2005-01-04
José San Román,Jose San Roman|J. San Román,Retirado,Lateral Derecho,Argentina,,,1988-08-17
João Batxi,J. Batxi|Joao Batxi,FC Krasnodar,Extremo Derecho,Angola,,,1998-05-01
João Carlos Teixeira,J. C. Teixeira|Joao Carlos Teixeira|J. Teixeira,Shanghai Shenhua,Mediocampista Ofensivo,Portugal,,,1993-01-18
João Henriques,,,,,,no,
João Queirós,J. Queiros|Joao Queiros,FC Ararat-Armenia,Defensor Central,Portugal,,,1998-04-22
Juan Manuel Cabrera,J. M. Cabrera|Juan Cabrera,Sarmiento,Lateral Derecho,Argentina,,,2000-03-10
Juan Pablo Rodríguez,,,Defender - Centre-Back,Argentina,,no,2003-01-18
Juan Sayago,,,Midfield - Attacking Midfield,Argentina,,no,2007-08-02
Julián Cuesta,J. Cuesta|Julian Cuesta,Antalyaspor,Arquero,España,,,1991-03-28
Kevin Sibille,K. Sibille,East Bengal FC,Defensor Central,Argentina,,,1998-09-15
Kiril Despodov,K. Despodov,PAOK Thessaloniki,Extremo Derecho,Bulgaria,,,1996-11-11
Konstantin Nikitenko,,,Attack - Right Winger,Portugal,,no,2006-04-11
Leandro Sanca,L. Sanca,Piast Gliwice,Extremo Derecho,Guinea-Bissau,,,2000-01-04
Leo Mendes,L. Mendes,Salamanca CF UDS,Arquero,Guinea-Bissau,,,2000-12-08
Lionnel Negou,,,Attack - Right Winger,Cameroon,,no,1998-01-31
Lisandro López,L. López|Lisandro Lopez|L. Lopez,Belgrano,Defensor Central,Argentina,,,1989-03-02
Lucas Alves,,,Defender - Centre-Back,Brazil,,no,
Lucas Boyé,L. Boyé|L. Boye|Boye|Lucas Boye,Deportivo Alavés,Delantero,Argentina,lucasboye31,,1996-02-28
Lucas Esquivel,L. Esquivel,Athletico Paranaense,Lateral Izquierdo,Argentina,,,2001-10-14
Lucas Martínez Quarta,L. Martínez Quarta|Martinez Quarta|L. Martinez Quarta|Chino,River Plate,Defensor Central,Argentina,chinomartinezquarta96,,1996-10-05
Lucas Pratto,L. Pratto,Coquimbo Unido,Delantero,Argentina,,,1988-06-04
Lucas Pusineri,,,,,,no,
Lucas Rodríguez,L. Rodríguez|Lucas Rodriguez,CA Aldosivi,Lateral Izquierdo,Argentina,,,1993-09-27
Luciano Ferreyra,L. Ferreyra,San Martín Tucumán,Extremo Izquierdo,Argentina,,,2002-02-19
